分类,规则,中文释义,上游说明,BAD 示例,GOOD 示例,对立规则,可快速修复,初筛分组,建议讨论方式,会议结论,负责人,备注,来源链接
空行与构造函数,prefer_blank_line_before_return,return 前保留一行空行。,Blank line before return statements,,,prefer_no_blank_line_before_return,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_blank_line_before_return
空行与构造函数,prefer_no_blank_line_before_return,return 前不额外插入空行。,No blank line before return,,,prefer_blank_line_before_return,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_no_blank_line_before_return
通用风格规则,arguments_ordering,命名参数按字母顺序排列。,Named arguments should be in alphabetical order,,,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#arguments_ordering
通用风格规则,avoid_small_text,文本字号避免小于 12，兼顾可访问性。,Font size at least 12 for accessibility,"Text('Small', style: TextStyle(fontSize: 10));","Text('Readable', style: TextStyle(fontSize: 14));",,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#avoid_small_text
通用风格规则,capitalize_comment,注释以大写字母开头。,Comments should start with a capital letter,,,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#capitalize_comment
通用风格规则,prefer_arrow_functions,单返回表达式函数优先使用箭头语法。,Use `=>` arrow syntax for single-return functions,"int double(int x) {
  return x * 2;
}",int double(int x) => x * 2;,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_arrow_functions
通用风格规则,prefer_curly_apostrophe,字符串中的撇号优先使用弯引号。,Curly apostrophe `'` in strings,"String message = ""It's a beautiful day"";  // Straight apostrophe U+0027","String message = ""It's a beautiful day"";  // Curly apostrophe U+2019",,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_curly_apostrophe
通用风格规则,prefer_doc_comments_over_regular,公开 API 说明优先使用 `///` 文档注释。,Use `///` instead of `//` for public API docs,,,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_doc_comments_over_regular
通用风格规则,prefer_doc_curly_apostrophe,文档注释中的撇号优先使用弯引号。,Curly apostrophe `'` in doc comments,/// It's a beautiful day.  // Straight apostrophe,/// It's a beautiful day.  // Curly apostrophe,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_doc_curly_apostrophe
通用风格规则,prefer_doc_straight_apostrophe,文档注释中的撇号优先使用直引号。,Straight apostrophe `'` in doc comments,/// It's a beautiful day.  // Curly apostrophe U+2019,/// It's a beautiful day.  // Straight apostrophe U+0027,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_doc_straight_apostrophe
通用风格规则,prefer_period_after_doc,文档注释结尾补句号。,Doc comments end with period,,,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_period_after_doc
通用风格规则,prefer_screaming_case_constants,常量使用全大写下划线命名。,Constants in `SCREAMING_SNAKE_CASE`,const int maxRetries = 3;,const int MAX_RETRIES = 3;,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_screaming_case_constants
通用风格规则,prefer_sentence_case_comments,普通注释以句首大写风格书写。,Comments start with capital letter,,,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_sentence_case_comments
通用风格规则,prefer_single_quotes,字符串默认使用单引号。,Single quotes `'string'` instead of double quotes,"String name = ""John"";",String name = 'John';,,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_single_quotes
通用风格规则,prefer_straight_apostrophe,字符串中的撇号优先使用直引号。,Straight apostrophe `'` in strings,"String message = ""It's a beautiful day"";  // Curly apostrophe U+2019","String message = ""It's a beautiful day"";  // Straight apostrophe U+0027",,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_straight_apostrophe
通用风格规则,prefer_trailing_comma_always,多行结构统一保留尾随逗号。,Trailing commas on all multi-line constructs,"return Container(
  child: Text('Hello')  // Missing trailing comma
);","return Container(
  child: Text('Hello'),
);",,是,低成本候选,可先在分支试运行，再决定是否正式采纳。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_trailing_comma_always
通用风格规则,prefer_all_named_parameters,当位置参数较多时，优先改为命名参数。,Use named parameters when 3+ positional params,"void createUser(String name, String email, int age, bool isAdmin) { ... }
createUser('John', 'john@example.com', 30, true);  // Unclear","void createUser({
  required String name,
  required String email,
  required int age,
  required bool isAdmin,
}) { ... }
createUser(name: 'John', email: 'john@example.com', age: 30, isAdmin: true);",,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_all_named_parameters
通用风格规则,prefer_class_over_record_return,方法返回值优先用类而不是 record。,Return classes instead of records from methods,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_class_over_record_return
通用风格规则,prefer_descriptive_bool_names,布尔命名使用 `is/has/can` 等语义前缀。,Booleans use `is`/`has`/`can` prefix,bool admin = true;,"bool isAdmin = true;
bool hasPermission = true;
bool canEdit = true;",,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_descriptive_bool_names
通用风格规则,prefer_fixme_format,FIXME 注释统一采用 `FIXME(author): 描述` 格式。,FIXMEs follow `FIXME(author): description` format,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_fixme_format
通用风格规则,prefer_inline_callbacks,回调优先内联编写，不额外提取方法引用。,Inline callbacks instead of method references,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_inline_callbacks
通用风格规则,prefer_one_widget_per_file,每个文件尽量只放一个 Widget 类。,One widget class per file,"// my_widgets.dart
class MyButton extends StatelessWidget { ... }
class MyCard extends StatelessWidget { ... }  // Second widget triggers warning","// my_button.dart
class MyButton extends StatelessWidget { ... }
// my_card.dart (separate file)
class MyCard extends StatelessWidget { ... }",,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_one_widget_per_file
通用风格规则,prefer_private_underscore_prefix,实例字段默认使用下划线私有化。,All instance fields should be private (`_name`),,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_private_underscore_prefix
通用风格规则,prefer_rethrow_over_throw_e,在 catch 中优先使用 `rethrow`，避免 `throw e`。,Prefer 'rethrow' over 'throw e' in catch blocks,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_rethrow_over_throw_e
通用风格规则,prefer_snake_case_files,文件名统一使用 `snake_case.dart`。,File names in `snake_case.dart`,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_snake_case_files
通用风格规则,prefer_sorted_parameters,函数参数顺序遵守团队约定。,Function parameters should be sorted by team convention,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_sorted_parameters
通用风格规则,prefer_todo_format,TODO 注释统一采用 `TODO(author): 描述` 格式。,TODOs follow `TODO(author): description` format,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_todo_format
通用风格规则,prefer_widget_methods_over_classes,小型 Widget 优先写成方法而不是单独类。,Small widgets as methods instead of classes,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_widget_methods_over_classes
通用风格规则,avoid_generic_greeting_text,问候语文案遵守团队统一风格。,Greeting messages should follow team style conventions,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#avoid_generic_greeting_text
通用风格规则,firebase_custom,Firebase 相关写法遵守团队自定义约定。,Custom Firebase usage should follow team conventions,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#firebase_custom
通用风格规则,prefer_kebab_tag_name,标签名统一使用 kebab-case。,Tag names should use kebab-case,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_kebab_tag_name
通用风格规则,purchase_completed,购买完成逻辑遵守团队既定写法。,Purchase completion logic should follow team style conventions,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#purchase_completed
通用风格规则,require_purchase_verification,购买流程需遵守校验相关团队约定。,Purchase logic should follow team style conventions,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#require_purchase_verification
通用风格规则,require_save_confirmation,保存行为需要符合确认流程约定。,Save logic should follow team style conventions,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#require_save_confirmation
通用风格规则,user_clicked_button,按钮点击逻辑遵守团队交互约定。,Button click logic should follow team style conventions,,,,否,项目/业务相关,结合现有业务模块、团队习惯和适用范围讨论。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#user_clicked_button
附加风格规则 / 命名约定,prefer_lower_camel_case_constants,常量采用 `lowerCamelCase` 命名。,Constants: `maxRetries`,,,prefer_screaming_case_constants,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_lower_camel_case_constants
附加风格规则 / 命名约定,prefer_camel_case_method_names,方法名统一使用 `camelCase`。,Methods: `fetchUserData`,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_camel_case_method_names
附加风格规则 / 字符串处理,prefer_concatenation_over_interpolation,字符串拼接优先使用 `+` 连接。,"Use `'Hello, ' + name`",,,prefer_interpolation_over_concatenation,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_concatenation_over_interpolation
附加风格规则 / 字符串处理,prefer_double_quotes,字符串默认使用双引号。,Use double quotes for strings,,,prefer_single_quotes,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_double_quotes
附加风格规则 / 字符串处理,prefer_interpolation_over_concatenation,字符串拼接优先使用插值。,"Use `'Hello, $name'`",,,prefer_concatenation_over_interpolation,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_interpolation_over_concatenation
附加风格规则 / 导入组织,prefer_absolute_imports,导入本地包内文件优先使用 `package:` 路径。,Use `package:` imports,,,prefer_relative_imports,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_absolute_imports
附加风格规则 / 导入组织,prefer_flat_imports,导入列表保持扁平，不做分组。,"No grouping, flat import list",,,prefer_grouped_imports,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_flat_imports
附加风格规则 / 导入组织,prefer_grouped_imports,导入按 `dart / package / relative` 分组。,"Group: dart, package, relative",,,prefer_flat_imports,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_grouped_imports
附加风格规则 / 导入组织,prefer_relative_imports,同包内文件优先使用相对导入。,Use relative imports instead of absolute `package:` imports,import 'package:my_app/src/utils/helpers.dart';,import '../utils/helpers.dart';,prefer_absolute_imports,是,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_relative_imports
附加风格规则 / 导入组织,prefer_named_imports,导入时优先使用 `show` / `hide` 明确暴露内容。,Use `show`/`hide` for explicit imports,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_named_imports
附加风格规则 / 类型标注,prefer_dynamic_over_object,确实需要动态行为时优先直接使用 `dynamic`。,Use `dynamic` for truly dynamic types,,,prefer_object_over_dynamic,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_dynamic_over_object
附加风格规则 / 类型标注,prefer_object_over_dynamic,动态场景优先使用 `Object?` 而不是 `dynamic`。,Use `Object?` instead of `dynamic`,,,prefer_dynamic_over_object,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_object_over_dynamic
附加风格规则 / 类结构,prefer_fields_before_methods,类中字段定义放在方法前面。,Fields declared before methods,,,prefer_methods_before_fields,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_fields_before_methods
附加风格规则 / 类结构,prefer_instance_members_first,实例成员放在静态成员前面。,Instance members before static,,,prefer_static_members_first,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_instance_members_first
附加风格规则 / 类结构,prefer_methods_before_fields,类中方法定义放在字段前面。,Methods declared before fields,,,prefer_fields_before_methods,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_methods_before_fields
附加风格规则 / 类结构,prefer_private_members_first,私有成员放在公开成员前面。,Private members before public,,,prefer_public_members_first,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_private_members_first
附加风格规则 / 类结构,prefer_public_members_first,公开成员放在私有成员前面。,Public members before private,,,prefer_private_members_first,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_public_members_first
附加风格规则 / 类结构,prefer_static_members_first,静态成员放在实例成员前面。,Static members before instance,,,prefer_instance_members_first,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_static_members_first
附加风格规则 / 表达式风格,prefer_explicit_boolean_comparison,布尔判断显式写成与 `true/false` 的比较。,Use `if (isValid == true)` for nullable bools,,,prefer_implicit_boolean_comparison,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_explicit_boolean_comparison
附加风格规则 / 表达式风格,prefer_implicit_boolean_comparison,布尔判断优先直接写 `if (flag)`。,Use `if (isValid)` not `if (isValid == true)`,,,prefer_explicit_boolean_comparison,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_implicit_boolean_comparison
附加风格规则 / 表达式风格,prefer_explicit_this,字段访问显式写出 `this.`。,Use `this.field` for field access,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_explicit_this
